BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
-1	root
35.2	not assigned.unknown	gi|351618848|gb|JP473149.1|	  TSA: Cannabis sativa PK25494.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616834|gb|JP471135.1|	  TSA: Cannabis sativa PK14210.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614221|gb|JP468522.1|	  TSA: Cannabis sativa PK10438.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351591175|gb|JP449629.1|	  TSA: Cannabis sativa PK17507.6_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615899|gb|JP470200.1|	  TSA: Cannabis sativa PK05158.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351618778|gb|JP473079.1|	  TSA: Cannabis sativa PK04112.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601238|gb|JP455688.1|	  TSA: Cannabis sativa PK25213.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606640|gb|JP460966.1|	  TSA: Cannabis sativa PK22232.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619168|gb|JP473469.1|	  TSA: Cannabis sativa PK12594.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613585|gb|JP467886.1|	  TSA: Cannabis sativa PK04043.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614641|gb|JP468942.1|	  TSA: Cannabis sativa PK16967.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614723|gb|JP469024.1|	  TSA: Cannabis sativa PK06727.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606088|gb|JP460422.1|	  TSA: Cannabis sativa PK05555.7_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613150|gb|JP467451.1|	  TSA: Cannabis sativa PK13696.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623022|gb|JP477323.1|	  TSA: Cannabis sativa PK21449.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614755|gb|JP469056.1|	  TSA: Cannabis sativa PK03078.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613106|gb|JP467407.1|	  TSA: Cannabis sativa PK10492.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351612103|gb|JP466404.1|	  TSA: Cannabis sativa PK20209.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616428|gb|JP470729.1|	  TSA: Cannabis sativa PK28499.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351591370|gb|JP449817.1|	  TSA: Cannabis sativa PK06195.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351597575|gb|JP452118.1|	  TSA: Cannabis sativa PK27710.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351612008|gb|JP466309.1|	  TSA: Cannabis sativa PK13136.15_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609828|gb|JP464129.1|	  TSA: Cannabis sativa PK14701.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351598216|gb|JP452745.1|	  TSA: Cannabis sativa PK15962.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614312|gb|JP468613.1|	  TSA: Cannabis sativa PK24867.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614352|gb|JP468653.1|	  TSA: Cannabis sativa PK13435.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613841|gb|JP468142.1|	  TSA: Cannabis sativa PK17061.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351612501|gb|JP466802.1|	  TSA: Cannabis sativa PK02354.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351608651|gb|JP462956.1|	  TSA: Cannabis sativa PK04696.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609959|gb|JP464260.1|	  TSA: Cannabis sativa PK12227.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609407|gb|JP463708.1|	  TSA: Cannabis sativa PK05071.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351603448|gb|JP457806.1|	  TSA: Cannabis sativa PK25353.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619501|gb|JP473802.1|	  TSA: Cannabis sativa PK26828.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351603585|gb|JP457942.1|	  TSA: Cannabis sativa PK22127.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606610|gb|JP460937.1|	  TSA: Cannabis sativa PK08622.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614413|gb|JP468714.1|	  TSA: Cannabis sativa PK23882.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614881|gb|JP469182.1|	  TSA: Cannabis sativa PK00153.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351604412|gb|JP458764.1|	  TSA: Cannabis sativa PK19589.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351605085|gb|JP459432.1|	  TSA: Cannabis sativa PK29821.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351617617|gb|JP471918.1|	  TSA: Cannabis sativa PK01692.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599976|gb|JP454455.1|	  TSA: Cannabis sativa PK14251.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351608362|gb|JP462669.1|	  TSA: Cannabis sativa PK29855.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351617076|gb|JP471377.1|	  TSA: Cannabis sativa PK17524.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351611119|gb|JP465420.1|	  TSA: Cannabis sativa PK00316.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351591489|gb|JP449936.1|	  TSA: Cannabis sativa PK09857.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351597785|gb|JP452324.1|	  TSA: Cannabis sativa PK29678.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609073|gb|JP463374.1|	  TSA: Cannabis sativa PK04366.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351612900|gb|JP467201.1|	  TSA: Cannabis sativa PK04016.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606501|gb|JP460829.1|	  TSA: Cannabis sativa PK02205.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609605|gb|JP463906.1|	  TSA: Cannabis sativa PK01908.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351590841|gb|JP449299.1|	  TSA: Cannabis sativa PK22775.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615255|gb|JP469556.1|	  TSA: Cannabis sativa PK06779.5_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351605425|gb|JP459770.1|	  TSA: Cannabis sativa PK15051.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602520|gb|JP456941.1|	  TSA: Cannabis sativa PK10985.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351627872|gb|JP480755.1|	  TSA: Cannabis sativa PK11813.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351596813|gb|JP451367.1|	  TSA: Cannabis sativa PK09841.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351597128|gb|JP451678.1|	  TSA: Cannabis sativa PK07803.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351600198|gb|JP454670.1|	  TSA: Cannabis sativa PK05826.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615008|gb|JP469309.1|	  TSA: Cannabis sativa PK14542.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622141|gb|JP476442.1|	  TSA: Cannabis sativa PK27047.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351596657|gb|JP451212.1|	  TSA: Cannabis sativa PK04769.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615053|gb|JP469354.1|	  TSA: Cannabis sativa PK01914.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615697|gb|JP469998.1|	  TSA: Cannabis sativa PK18566.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614554|gb|JP468855.1|	  TSA: Cannabis sativa PK28320.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606376|gb|JP460704.1|	  TSA: Cannabis sativa PK14598.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599211|gb|JP453710.1|	  TSA: Cannabis sativa PK15011.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623893|gb|JP478194.1|	  TSA: Cannabis sativa PK28965.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351600438|gb|JP454906.1|	  TSA: Cannabis sativa PK25880.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616084|gb|JP470385.1|	  TSA: Cannabis sativa PK25829.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616851|gb|JP471152.1|	  TSA: Cannabis sativa PK14087.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623399|gb|JP477700.1|	  TSA: Cannabis sativa PK10486.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351625288|gb|JP479589.1|	  TSA: Cannabis sativa PK09851.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351600539|gb|JP455005.1|	  TSA: Cannabis sativa PK04535.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613329|gb|JP467630.1|	  TSA: Cannabis sativa PK14304.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601527|gb|JP455970.1|	  TSA: Cannabis sativa PK20091.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620122|gb|JP474423.1|	  TSA: Cannabis sativa PK10637.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620309|gb|JP474610.1|	  TSA: Cannabis sativa PK19976.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624041|gb|JP478342.1|	  TSA: Cannabis sativa PK09464.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351607110|gb|JP461433.1|	  TSA: Cannabis sativa PK16035.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351607191|gb|JP461514.1|	  TSA: Cannabis sativa PK28552.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351627895|gb|JP480778.1|	  TSA: Cannabis sativa PK09786.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602876|gb|JP457237.1|	  TSA: Cannabis sativa PK13875.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351608766|gb|JP463070.1|	  TSA: Cannabis sativa PK06597.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601275|gb|JP455723.1|	  TSA: Cannabis sativa PK18714.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351605349|gb|JP459695.1|	  TSA: Cannabis sativa PK15875.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609092|gb|JP463393.1|	  TSA: Cannabis sativa PK14004.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601675|gb|JP456116.1|	  TSA: Cannabis sativa PK02207.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351591292|gb|JP449741.1|	  TSA: Cannabis sativa PK04124.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351625365|gb|JP479666.1|	  TSA: Cannabis sativa PK06242.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609021|gb|JP463322.1|	  TSA: Cannabis sativa PK05181.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615718|gb|JP470019.1|	  TSA: Cannabis sativa PK21974.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351604809|gb|JP459158.1|	  TSA: Cannabis sativa PK00105.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610476|gb|JP464777.1|	  TSA: Cannabis sativa PK08297.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624243|gb|JP478544.1|	  TSA: Cannabis sativa PK28933.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606944|gb|JP461269.1|	  TSA: Cannabis sativa PK23646.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609811|gb|JP464112.1|	  TSA: Cannabis sativa PK05553.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602899|gb|JP457260.1|	  TSA: Cannabis sativa PK04759.7_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351611290|gb|JP465591.1|	  TSA: Cannabis sativa PK28900.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351603329|gb|JP457688.1|	  TSA: Cannabis sativa PK01074.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610539|gb|JP464840.1|	  TSA: Cannabis sativa PK18922.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620912|gb|JP475213.1|	  TSA: Cannabis sativa PK12651.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351611596|gb|JP465897.1|	  TSA: Cannabis sativa PK06465.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610213|gb|JP464514.1|	  TSA: Cannabis sativa PK23461.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601536|gb|JP455979.1|	  TSA: Cannabis sativa PK17508.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351627800|gb|JP480683.1|	  TSA: Cannabis sativa PK10073.29_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351604445|gb|JP458796.1|	  TSA: Cannabis sativa PK01471.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602122|gb|JP456555.1|	  TSA: Cannabis sativa PK12683.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351606356|gb|JP460685.1|	  TSA: Cannabis sativa PK20187.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351596768|gb|JP451322.1|	  TSA: Cannabis sativa PK29280.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615039|gb|JP469340.1|	  TSA: Cannabis sativa PK29353.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615390|gb|JP469691.1|	  TSA: Cannabis sativa PK01717.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351605294|gb|JP459640.1|	  TSA: Cannabis sativa PK29004.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351613895|gb|JP468196.1|	  TSA: Cannabis sativa PK02798.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614024|gb|JP468325.1|	  TSA: Cannabis sativa PK19920.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351607330|gb|JP461652.1|	  TSA: Cannabis sativa PK22616.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614033|gb|JP468334.1|	  TSA: Cannabis sativa PK19471.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351604840|gb|JP459189.1|	  TSA: Cannabis sativa PK09949.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622897|gb|JP477198.1|	  TSA: Cannabis sativa PK19579.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622847|gb|JP477148.1|	  TSA: Cannabis sativa PK12445.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609545|gb|JP463846.1|	  TSA: Cannabis sativa PK03780.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351607656|gb|JP461976.1|	  TSA: Cannabis sativa PK01828.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610225|gb|JP464526.1|	  TSA: Cannabis sativa PK12311.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599881|gb|JP454362.1|	  TSA: Cannabis sativa PK18562.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616699|gb|JP471000.1|	  TSA: Cannabis sativa PK18643.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351618981|gb|JP473282.1|	  TSA: Cannabis sativa PK00402.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623436|gb|JP477737.1|	  TSA: Cannabis sativa PK06396.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351611749|gb|JP466050.1|	  TSA: Cannabis sativa PK10806.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620672|gb|JP474973.1|	  TSA: Cannabis sativa PK04154.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602952|gb|JP457312.1|	  TSA: Cannabis sativa PK16456.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610761|gb|JP465062.1|	  TSA: Cannabis sativa PK29289.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619555|gb|JP473856.1|	  TSA: Cannabis sativa PK02092.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351595912|gb|JP450472.1|	  TSA: Cannabis sativa PK16312.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351621882|gb|JP476183.1|	  TSA: Cannabis sativa PK20148.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622421|gb|JP476722.1|	  TSA: Cannabis sativa PK21294.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351597951|gb|JP452486.1|	  TSA: Cannabis sativa PK27888.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619821|gb|JP474122.1|	  TSA: Cannabis sativa PK06911.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601130|gb|JP455582.1|	  TSA: Cannabis sativa PK21451.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610872|gb|JP465173.1|	  TSA: Cannabis sativa PK13596.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610009|gb|JP464310.1|	  TSA: Cannabis sativa PK29336.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623870|gb|JP478171.1|	  TSA: Cannabis sativa PK13226.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599893|gb|JP454374.1|	  TSA: Cannabis sativa PK10755.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351629031|gb|JP481914.1|	  TSA: Cannabis sativa PK09844.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609459|gb|JP463760.1|	  TSA: Cannabis sativa PK07709.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351608512|gb|JP462818.1|	  TSA: Cannabis sativa PK06957.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610035|gb|JP464336.1|	  TSA: Cannabis sativa PK29469.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610315|gb|JP464616.1|	  TSA: Cannabis sativa PK05912.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624000|gb|JP478301.1|	  TSA: Cannabis sativa PK09511.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351601224|gb|JP455675.1|	  TSA: Cannabis sativa PK22179.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614003|gb|JP468304.1|	  TSA: Cannabis sativa PK01321.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351607905|gb|JP462218.1|	  TSA: Cannabis sativa PK12962.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624291|gb|JP478592.1|	  TSA: Cannabis sativa PK11610.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614851|gb|JP469152.1|	  TSA: Cannabis sativa PK24954.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351608108|gb|JP462419.1|	  TSA: Cannabis sativa PK09174.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620626|gb|JP474927.1|	  TSA: Cannabis sativa PK04608.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351598784|gb|JP453294.1|	  TSA: Cannabis sativa PK21008.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602971|gb|JP457331.1|	  TSA: Cannabis sativa PK08863.3_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351605050|gb|JP459397.1|	  TSA: Cannabis sativa PK12000.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619677|gb|JP473978.1|	  TSA: Cannabis sativa PK24801.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623931|gb|JP478232.1|	  TSA: Cannabis sativa PK11038.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615416|gb|JP469717.1|	  TSA: Cannabis sativa PK02510.13_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351623937|gb|JP478238.1|	  TSA: Cannabis sativa PK03424.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599602|gb|JP454091.1|	  TSA: Cannabis sativa PK27429.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351625534|gb|JP479835.1|	  TSA: Cannabis sativa PK02048.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599988|gb|JP454467.1|	  TSA: Cannabis sativa PK22640.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351603218|gb|JP457577.1|	  TSA: Cannabis sativa PK16578.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619348|gb|JP473649.1|	  TSA: Cannabis sativa PK00896.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622117|gb|JP476418.1|	  TSA: Cannabis sativa PK28187.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624295|gb|JP478596.1|	  TSA: Cannabis sativa PK03389.5_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620827|gb|JP475128.1|	  TSA: Cannabis sativa PK20353.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351621080|gb|JP475381.1|	  TSA: Cannabis sativa PK01306.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351609538|gb|JP463839.1|	  TSA: Cannabis sativa PK29508.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610306|gb|JP464607.1|	  TSA: Cannabis sativa PK07082.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351628533|gb|JP481416.1|	  TSA: Cannabis sativa PK10192.4_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351617951|gb|JP472252.1|	  TSA: Cannabis sativa PK15574.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351616560|gb|JP470861.1|	  TSA: Cannabis sativa PK21437.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351602177|gb|JP456608.1|	  TSA: Cannabis sativa PK13576.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351625725|gb|JP480026.1|	  TSA: Cannabis sativa PK00402.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351611311|gb|JP465612.1|	  TSA: Cannabis sativa PK02352.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351625690|gb|JP479991.1|	  TSA: Cannabis sativa PK27863.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624673|gb|JP478974.1|	  TSA: Cannabis sativa PK08163.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624645|gb|JP478946.1|	  TSA: Cannabis sativa PK19828.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620909|gb|JP475210.1|	  TSA: Cannabis sativa PK19836.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599071|gb|JP453575.1|	  TSA: Cannabis sativa PK24608.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614672|gb|JP468973.1|	  TSA: Cannabis sativa PK02884.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351604868|gb|JP459217.1|	  TSA: Cannabis sativa PK18735.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610382|gb|JP464683.1|	  TSA: Cannabis sativa PK20373.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351620763|gb|JP475064.1|	  TSA: Cannabis sativa PK21335.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351628328|gb|JP481211.1|	  TSA: Cannabis sativa PK24495.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351618814|gb|JP473115.1|	  TSA: Cannabis sativa PK19894.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351590950|gb|JP449407.1|	  TSA: Cannabis sativa PK02035.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351622513|gb|JP476814.1|	  TSA: Cannabis sativa PK05276.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351599826|gb|JP454310.1|	  TSA: Cannabis sativa PK18145.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615735|gb|JP470036.1|	  TSA: Cannabis sativa PK19636.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619278|gb|JP473579.1|	  TSA: Cannabis sativa PK09946.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351619369|gb|JP473670.1|	  TSA: Cannabis sativa PK23304.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351610227|gb|JP464528.1|	  TSA: Cannabis sativa PK00148.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351615406|gb|JP469707.1|	  TSA: Cannabis sativa PK23110.1_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351624709|gb|JP479010.1|	  TSA: Cannabis sativa PK01048.2_1.CasaPuKu mRNA sequence	T
35.2	not assigned.unknown	gi|351614464|gb|JP468765.1|	  TSA: Cannabis sativa PK02305.1_1.CasaPuKu mRNA sequence	T
